,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent
1250,Belmont,2016,San Mateo,0.7169811320754718,0.7029702970297029,"(0.65, 0.8]",Good,Good,26200.0,41.1,13.0,56.9,2.2,21.6,14936.0,13873.0,1063.0,7.1,64.1,25.6,102895.0,5.5,10854.0,59.1,5.2,18.6,5.4,882400.0,1564.0
1251,Benicia,2016,Solano,0.7,0.7124463519313304,"(0.65, 0.8]",Good,Good,27225.0,44.0,15.0,63.5,4.7,9.5,14646.0,13519.0,1127.0,7.7,62.9,29.8,88502.0,5.7,11433.0,66.1,8.9,4.5,5.7,422700.0,1334.0
1252,Berkeley,2016,Alameda,0.676923076923077,0.6696428571428571,"(0.65, 0.8]",Good,Good,114037.0,31.8,10.4,56.0,8.4,20.0,60666.0,55572.0,5094.0,8.4,57.4,26.9,63312.0,18.7,49422.0,43.1,3.7,16.0,4.4,698600.0,1298.0
1253,Big Bear Lake,2016,San Bernardino,0.7118320610687023,0.6970684039087948,"(0.65, 0.8]",Good,Good,5080.0,43.0,23.1,70.5,1.8,0.0,2246.0,1906.0,340.0,15.1,46.8,15.9,33036.0,19.4,9747.0,82.7,2.3,2.8,4.8,330800.0,936.0
1254,Blue Lake,2016,Humboldt,0.9267015706806283,0.9798243531924994,"(0.8, 1.0]",Great,Great,1412.0,36.8,5.2,78.8,2.0,1.7,785.0,745.0,40.0,5.1,60.2,16.9,55750.0,18.5,696.0,68.5,2.0,2.2,5.0,281900.0,983.0
1255,Blythe,2016,Riverside,0.569767441860465,0.6513605442176871,"(0.5, 0.65]",Good,Okay,20405.0,37.1,52.8,29.6,13.7,1.9,6794.0,5680.0,1114.0,16.4,52.1,14.8,46856.0,19.2,6087.0,62.5,3.1,3.9,4.9,131200.0,753.0
1256,Brea,2016,Orange,0.6000000000000001,0.5940594059405941,"(0.5, 0.65]",Okay,Okay,39843.0,38.6,27.0,50.7,0.6,19.1,21842.0,19873.0,1969.0,9.0,62.1,29.7,79124.0,6.6,14759.0,57.4,6.4,14.5,5.6,522000.0,1464.0
1257,Brentwood,2016,Contra Costa,0.6982758620689655,0.7671428571428571,"(0.65, 0.8]",Good,Good,52494.0,36.0,26.9,56.3,4.7,7.6,25069.0,22863.0,2206.0,8.8,59.4,40.9,91475.0,5.7,17661.0,89.4,2.6,2.0,6.7,345000.0,1872.0
1258,Brisbane,2016,San Mateo,0.7869822485207101,0.6329113924050633,"(0.65, 0.8]",Okay,Good,4330.0,42.9,22.1,45.2,0.2,29.7,2748.0,2467.0,281.0,10.2,70.0,24.6,78542.0,3.6,1981.0,51.1,11.1,2.9,4.9,603000.0,1367.0
1259,Buellton,2016,Santa Barbara,0.6038961038961039,0.7419354838709677,"(0.5, 0.65]",Good,Okay,4862.0,43.0,34.6,54.1,2.2,3.0,2991.0,2809.0,182.0,6.1,69.6,27.3,66076.0,9.8,1856.0,67.7,3.8,0.7,5.6,407800.0,1027.0
1260,Buena Park,2016,Orange,0.5952380952380952,0.6206896551724137,"(0.5, 0.65]",Okay,Okay,81522.0,35.5,38.5,26.3,4.3,27.9,40511.0,37236.0,3275.0,8.1,56.3,29.2,66371.0,12.0,23930.0,57.4,8.0,14.7,5.2,393900.0,1375.0
1261,Burbank,2016,Los Angeles,0.7105263157894737,0.7786885245901639,"(0.65, 0.8]",Good,Good,103850.0,38.6,25.8,57.1,1.6,11.6,58453.0,52926.0,5527.0,9.5,62.9,24.8,66240.0,9.4,43168.0,44.9,4.0,19.1,4.4,554700.0,1365.0
1262,Burlingame,2016,San Mateo,0.572289156626506,0.6136363636363636,"(0.5, 0.65]",Okay,Okay,29237.0,39.9,13.7,59.8,0.8,20.4,16171.0,15142.0,1029.0,6.4,63.3,27.2,84854.0,7.5,12837.0,48.3,2.8,15.6,4.7,1000000.0,1521.0
1263,Calabasas,2016,Los Angeles,0.5581395348837209,0.603448275862069,"(0.5, 0.65]",Okay,Okay,23629.0,43.3,7.2,76.8,3.0,8.0,11721.0,10831.0,890.0,7.6,54.3,31.4,124583.0,6.6,9076.0,67.3,8.6,7.7,6.7,868700.0,2000.0
1264,California City,2016,Kern,0.5945945945945946,0.7963709677419355,"(0.5, 0.65]",Good,Okay,13333.0,37.3,27.3,52.5,13.7,3.2,5888.0,4307.0,1581.0,26.9,49.7,32.8,51131.0,24.0,6156.0,73.8,4.4,0.4,5.3,93600.0,898.0
1265,Calimesa,2016,Riverside,0.5729166666666667,0.26878612716763006,"(0.5, 0.65]",Low,Okay,8021.0,52.1,19.8,75.8,0.3,0.9,3314.0,2980.0,334.0,10.1,46.5,31.7,44034.0,13.4,3733.0,58.8,1.6,0.6,5.4,161800.0,1141.0
1266,Camarillo,2016,Ventura,0.7337662337662338,0.7198581560283688,"(0.65, 0.8]",Good,Good,65476.0,40.2,25.4,59.5,1.9,10.1,33565.0,30853.0,2712.0,8.1,58.1,22.3,86287.0,5.8,24612.0,61.5,17.7,6.2,5.8,453400.0,1646.0
1267,Campbell,2016,Santa Clara,0.5673076923076923,0.5903614457831325,"(0.5, 0.65]",Okay,Okay,39856.0,37.0,17.0,60.2,1.4,16.0,23825.0,22130.0,1695.0,7.1,66.9,23.8,88300.0,7.2,16616.0,44.2,12.6,15.9,4.7,666900.0,1494.0
1268,Canyon Lake,2016,Riverside,0.6145833333333333,0.6476744186046511,"(0.5, 0.65]",Okay,Okay,10712.0,41.4,14.8,82.7,0.8,1.1,5385.0,4772.0,613.0,11.4,57.0,43.4,72956.0,6.2,4475.0,93.1,3.3,0.2,6.3,304900.0,1880.0
1269,Capitola,2016,Santa Cruz,0.6507936507936507,0.6419753086419753,"(0.65, 0.8]",Okay,Good,9982.0,41.5,22.1,67.6,2.5,3.2,5597.0,5181.0,416.0,7.4,60.0,26.6,54064.0,8.0,5243.0,36.2,9.9,8.1,4.2,455900.0,1588.0
1270,Carlsbad,2016,San Diego,0.5416666666666667,0.5572519083969465,"(0.5, 0.65]",Okay,Okay,107307.0,41.1,13.2,75.2,1.3,7.4,52726.0,47919.0,4807.0,9.1,55.5,28.3,83908.0,10.6,45290.0,53.4,16.6,11.2,5.8,614000.0,1631.0
1271,Carmel-by-the-Sea,2016,Monterey,0.7327044025157232,0.7349137931034482,"(0.65, 0.8]",Good,Good,3769.0,53.9,9.0,80.3,0.0,9.1,1533.0,1457.0,76.0,5.0,42.3,21.7,71719.0,6.4,3520.0,83.1,3.8,1.7,5.1,1000000.0,1559.0
1272,Carpinteria,2016,Santa Barbara,0.7471264367816092,0.7592592592592593,"(0.65, 0.8]",Good,Good,13184.0,41.7,44.9,50.8,0.1,2.2,7626.0,6994.0,632.0,8.3,60.4,22.2,68375.0,7.5,5673.0,40.5,9.0,4.7,4.6,537900.0,1402.0
1273,Carson,2016,Los Angeles,0.7176165803108808,0.7520107238605898,"(0.65, 0.8]",Good,Good,91994.0,37.3,39.6,6.9,19.9,25.7,48355.0,41334.0,7021.0,14.5,60.4,26.4,72235.0,10.0,25837.0,72.6,8.8,4.6,5.5,340900.0,1347.0
1274,Cathedral City,2016,Riverside,0.7028985507246377,0.6435331230283912,"(0.65, 0.8]",Okay,Good,51942.0,34.5,60.0,30.9,2.3,5.2,24927.0,21868.0,3059.0,12.3,57.3,20.4,44406.0,20.5,20925.0,57.0,12.9,3.8,5.0,179500.0,1124.0
1275,Cerritos,2016,Los Angeles,0.5887096774193549,0.622093023255814,"(0.5, 0.65]",Okay,Okay,49345.0,43.4,12.0,15.8,7.2,60.7,24625.0,22508.0,2117.0,8.6,55.0,30.8,89594.0,5.5,15401.0,84.2,8.5,2.4,6.2,592600.0,1970.0
1276,Chico,2016,Butte,0.6370967741935484,0.5964912280701755,"(0.5, 0.65]",Okay,Okay,86833.0,29.3,16.4,72.8,1.8,4.1,45994.0,40499.0,5495.0,11.9,61.1,17.3,43372.0,23.2,38087.0,53.1,4.7,8.8,4.9,266500.0,907.0
1277,Chino,2016,San Bernardino,0.675531914893617,0.6637931034482758,"(0.65, 0.8]",Good,Good,79342.0,34.0,52.8,26.0,4.8,11.7,37490.0,33226.0,4264.0,11.4,58.3,33.7,71466.0,10.0,22529.0,70.0,7.1,8.8,5.9,330900.0,1310.0
1278,Chino Hills,2016,San Bernardino,0.45945945945945954,0.7109375,"(0.0, 0.5]",Good,Low,75551.0,36.7,30.3,32.4,3.5,30.4,41138.0,36652.0,4486.0,10.9,64.5,37.1,96497.0,6.1,23877.0,80.2,4.1,4.2,6.4,476200.0,1783.0
1279,Chowchilla,2016,Madera,0.62,0.8873370577281192,"(0.5, 0.65]",Great,Okay,18296.0,36.4,36.5,44.2,11.8,1.8,4755.0,4247.0,508.0,10.7,19.2,23.3,37466.0,27.7,4690.0,81.3,2.6,1.6,5.4,138600.0,905.0
1280,Chula Vista,2016,San Diego,0.6509433962264151,0.668859649122807,"(0.65, 0.8]",Good,Good,248048.0,33.7,58.5,20.2,4.2,13.9,119697.0,104785.0,14912.0,12.5,59.0,26.8,64801.0,11.8,83732.0,53.0,11.6,16.8,5.2,351500.0,1255.0
1281,Claremont,2016,Los Angeles,0.6132075471698113,0.6231884057971014,"(0.5, 0.65]",Okay,Okay,35252.0,39.4,22.4,54.6,4.7,14.5,16875.0,15035.0,1840.0,10.9,52.0,27.4,87324.0,7.2,12219.0,69.6,7.8,7.8,5.9,533600.0,1233.0
1282,Clayton,2016,Contra Costa,0.646341463414634,0.721938775510204,"(0.5, 0.65]",Good,Okay,11137.0,45.3,8.0,80.0,1.9,6.2,5757.0,5232.0,525.0,9.1,61.6,34.9,127159.0,3.7,4195.0,78.1,14.8,2.4,6.9,584700.0,2000.0
1283,Clearlake,2016,Lake,0.6046511627906976,0.6747787610619469,"(0.5, 0.65]",Good,Okay,15127.0,40.9,20.9,64.9,6.8,1.0,6259.0,4802.0,1457.0,23.3,49.7,21.1,25061.0,36.3,8818.0,56.3,0.9,4.1,4.4,95100.0,811.0
1284,Clovis,2016,Fresno,0.6063829787234043,0.6096774193548387,"(0.5, 0.65]",Okay,Okay,97100.0,33.9,26.0,57.3,3.0,10.0,47423.0,42040.0,5383.0,11.4,59.0,20.5,65260.0,13.2,35271.0,71.9,1.8,6.8,5.6,247000.0,1039.0
1285,Coachella,2016,Riverside,0.6578947368421053,0.5548780487804879,"(0.65, 0.8]",Okay,Good,41625.0,25.5,97.2,1.6,0.8,0.1,19148.0,14956.0,4192.0,21.9,64.0,21.5,40965.0,30.9,10113.0,73.2,2.2,1.5,5.3,137600.0,878.0
1286,Coalinga,2016,Fresno,0.5394736842105263,0.6172839506172839,"(0.5, 0.65]",Okay,Okay,16609.0,32.4,53.3,35.9,5.7,2.3,6722.0,6141.0,581.0,8.6,57.9,19.1,46500.0,22.8,5017.0,65.7,2.9,2.8,5.0,149600.0,788.0
1287,Colfax,2016,Placer,0.7857142857142857,0.7169421487603306,"(0.65, 0.8]",Good,Good,2183.0,40.4,4.3,93.2,0.0,0.8,1278.0,1047.0,231.0,18.1,65.3,26.0,47175.0,11.0,1018.0,67.7,2.1,4.4,5.0,202700.0,1008.0
1288,Colma,2016,San Mateo,0.9083557951482479,0.896,"(0.8, 1.0]",Great,Great,1745.0,31.6,50.9,8.4,1.3,36.1,1160.0,1073.0,87.0,7.5,80.4,26.1,87060.0,8.0,473.0,50.3,20.7,4.4,5.0,540600.0,1765.0
1289,Colton,2016,San Bernardino,0.7077922077922079,0.7352941176470589,"(0.65, 0.8]",Good,Good,52650.0,27.9,73.8,12.8,8.3,3.6,24307.0,20770.0,3537.0,14.6,59.2,27.3,39604.0,24.5,16287.0,55.4,4.7,6.8,4.9,158700.0,977.0
1290,Commerce,2016,Los Angeles,0.5985915492957747,0.6366906474820144,"(0.5, 0.65]",Okay,Okay,12896.0,32.4,96.3,1.7,0.5,0.9,5844.0,4889.0,955.0,16.3,53.9,26.5,48729.0,16.5,3491.0,65.5,11.3,10.0,4.3,325300.0,879.0
1291,Compton,2016,Los Angeles,0.4655172413793103,0.6050420168067228,"(0.0, 0.5]",Okay,Low,97040.0,27.6,67.3,1.1,29.4,0.4,42016.0,34766.0,7250.0,17.3,55.3,27.6,42953.0,26.3,25088.0,69.5,8.4,3.3,4.9,237800.0,1043.0
1292,Concord,2016,Contra Costa,0.6228070175438597,0.5578512396694215,"(0.5, 0.65]",Okay,Okay,123658.0,37.1,29.5,49.8,3.8,11.5,67011.0,59527.0,7484.0,11.2,61.5,30.0,65798.0,12.1,48009.0,59.3,6.1,13.8,5.2,356500.0,1282.0
1294,Corona,2016,Riverside,0.6046511627906976,0.5725806451612904,"(0.5, 0.65]",Okay,Okay,155227.0,32.6,42.6,38.5,5.1,10.3,78007.0,68796.0,9211.0,11.8,59.7,35.2,77123.0,10.8,46871.0,69.4,4.6,7.1,6.0,324600.0,1329.0
1295,Coronado,2016,San Diego,0.6208333333333333,0.7676537585421412,"(0.5, 0.65]",Good,Okay,22710.0,40.1,14.9,76.1,3.3,2.8,8071.0,7596.0,475.0,5.9,54.2,19.8,91103.0,6.7,10562.0,48.8,11.0,22.9,5.0,1000000.0,2000.0
1296,Costa Mesa,2016,Orange,0.7176470588235294,0.7212389380530974,"(0.65, 0.8]",Good,Good,110871.0,33.8,35.2,51.6,1.2,9.0,66873.0,60527.0,6346.0,9.5,67.6,21.9,65830.0,15.1,43176.0,39.2,9.4,16.6,4.4,580700.0,1524.0
1298,Covina,2016,Los Angeles,0.5983606557377048,0.5895522388059702,"(0.5, 0.65]",Okay,Okay,48098.0,34.6,55.4,28.0,3.1,10.9,24966.0,21596.0,3370.0,13.5,63.0,31.4,66726.0,11.3,15834.0,58.9,8.8,12.8,5.3,371000.0,1225.0
1299,Cudahy,2016,Los Angeles,0.5128205128205128,0.6680327868852459,"(0.5, 0.65]",Good,Okay,23931.0,25.8,97.7,1.3,0.2,0.6,10607.0,9101.0,1506.0,14.2,49.5,32.4,38267.0,31.8,5736.0,44.6,7.3,10.4,4.1,206400.0,1126.0
1300,Culver City,2016,Los Angeles,0.6460674157303371,0.7469879518072289,"(0.5, 0.65]",Good,Okay,39105.0,40.6,23.0,48.8,9.7,14.1,22636.0,20705.0,1931.0,8.5,64.4,24.8,77333.0,7.1,17424.0,39.1,9.1,23.9,4.5,609600.0,1606.0
1301,Cupertino,2016,Santa Clara,0.5581395348837209,0.7222222222222222,"(0.5, 0.65]",Good,Okay,59080.0,40.0,5.3,28.6,0.2,63.4,27914.0,25707.0,2207.0,7.9,51.9,25.4,129976.0,4.3,21473.0,56.2,13.6,12.0,5.3,1000000.0,2000.0
1302,Cypress,2016,Orange,0.6888888888888889,0.7365853658536585,"(0.65, 0.8]",Good,Good,48358.0,40.6,18.4,43.7,2.9,31.3,24810.0,23201.0,1609.0,6.5,58.3,28.9,78364.0,6.7,16270.0,61.0,17.3,11.6,5.8,496600.0,1541.0
1303,Daly City,2016,San Mateo,0.42307692307692313,0.5,"(0.0, 0.5]",Low,Low,102605.0,38.6,22.9,13.3,2.7,57.3,59382.0,53570.0,5812.0,9.8,64.8,28.6,74436.0,8.6,32921.0,49.4,13.9,15.7,4.8,552700.0,1542.0
1304,Dana Point,2016,Orange,0.678082191780822,0.7036363636363636,"(0.65, 0.8]",Good,Good,33652.0,44.9,14.7,79.3,0.7,3.3,19295.0,17597.0,1698.0,8.8,58.0,28.2,80133.0,8.3,16162.0,49.8,15.8,4.7,5.4,707600.0,1787.0
1305,Davis,2016,Yolo,0.631578947368421,0.6114457831325302,"(0.5, 0.65]",Okay,Okay,65770.0,25.5,12.9,57.0,2.1,21.3,34189.0,31425.0,2764.0,8.1,58.4,20.4,60114.0,26.3,25175.0,46.9,8.3,13.3,5.0,529300.0,1248.0
1306,Del Mar,2016,San Diego,0.5911330049261083,0.6117886178861789,"(0.5, 0.65]",Okay,Okay,4207.0,49.8,11.7,87.9,0.0,0.4,2480.0,2454.0,26.0,1.0,59.3,20.0,107457.0,1.6,2731.0,50.5,11.8,12.2,5.0,1000000.0,1904.0
1308,Del Rey Oaks,2016,Monterey,0.6052631578947368,0.7979166666666667,"(0.5, 0.65]",Good,Okay,1779.0,42.2,18.0,68.1,0.3,8.2,935.0,858.0,77.0,8.2,61.6,16.6,85114.0,6.0,724.0,80.5,3.6,3.3,5.7,495500.0,2000.0
1309,Delano,2016,Kern,0.625,0.73109243697479,"(0.5, 0.65]",Good,Okay,52792.0,29.2,73.2,7.1,5.0,13.1,18863.0,15798.0,3065.0,16.2,54.3,21.4,35122.0,29.9,11129.0,71.6,4.0,4.0,5.1,140100.0,760.0
1310,Desert Hot Springs,2016,Riverside,0.5263157894736842,0.45700636942675155,"(0.5, 0.65]",Low,Okay,27096.0,31.4,54.3,31.6,5.9,2.4,11382.0,9405.0,1977.0,17.4,52.2,32.9,32473.0,32.0,11570.0,65.1,2.0,3.0,4.9,121600.0,896.0
1311,Diamond Bar,2016,Los Angeles,0.7065217391304348,0.7601156069364161,"(0.65, 0.8]",Good,Good,55950.0,40.9,20.0,20.3,3.8,53.0,29598.0,27397.0,2201.0,7.4,57.5,33.9,88422.0,5.9,18551.0,72.9,10.3,2.6,6.4,521900.0,1761.0
1312,Dinuba,2016,Tulare,0.6923076923076923,0.6327683615819208,"(0.65, 0.8]",Okay,Good,22325.0,28.4,87.3,10.4,0.0,1.7,10306.0,8753.0,1553.0,15.1,53.7,24.0,39328.0,28.6,5997.0,72.3,2.0,2.7,5.1,148600.0,835.0
1313,Dixon,2016,Solano,0.7121212121212122,0.5339366515837104,"(0.65, 0.8]",Okay,Good,18524.0,34.1,40.2,51.3,2.2,2.0,9739.0,8728.0,1011.0,10.4,65.2,22.1,72522.0,11.0,6335.0,75.6,1.8,3.1,5.7,278600.0,1157.0
1314,Dublin,2016,Alameda,0.728813559322034,0.7380952380952381,"(0.65, 0.8]",Good,Good,47642.0,36.1,13.2,46.7,6.8,27.9,24749.0,23127.0,1622.0,6.6,63.5,31.3,115236.0,3.8,16447.0,51.0,12.4,21.8,5.5,564900.0,1786.0
1315,East Palo Alto,2016,San Mateo,0.8529411764705882,0.9242043551088777,"(0.8, 1.0]",Great,Great,28597.0,28.9,61.0,8.2,15.2,3.5,14196.0,12424.0,1772.0,12.5,61.1,23.9,50142.0,18.4,7754.0,52.3,5.1,24.5,4.6,378800.0,1244.0
1316,El Cajon,2016,San Diego,0.6418918918918919,0.6462765957446808,"(0.5, 0.65]",Okay,Okay,100590.0,32.4,29.6,54.5,5.1,4.1,47418.0,40737.0,6681.0,14.1,54.5,24.0,44112.0,26.4,34373.0,40.4,5.3,24.3,4.4,314800.0,1087.0
1318,El Monte,2016,Los Angeles,0.6764705882352942,0.7101694915254237,"(0.65, 0.8]",Good,Good,114412.0,33.5,66.3,4.9,0.5,27.6,53576.0,46080.0,7496.0,14.0,50.4,30.3,39535.0,24.3,30998.0,57.8,11.3,10.0,4.5,345200.0,1071.0
1319,El Segundo,2016,Los Angeles,0.8404977375565611,0.8774834437086092,"(0.8, 1.0]",Great,Great,16760.0,38.3,17.9,67.5,1.1,7.1,9647.0,9020.0,627.0,6.5,64.2,22.0,84341.0,4.8,7114.0,41.3,6.3,10.7,4.5,736500.0,1490.0
1320,Emeryville,2016,Alameda,0.8209876543209876,0.7761194029850746,"(0.8, 1.0]",Good,Great,10206.0,34.5,6.3,42.8,17.0,28.4,7014.0,6541.0,473.0,6.7,69.7,28.3,65000.0,9.7,6591.0,7.1,4.3,67.1,3.5,296000.0,1587.0
1321,Encinitas,2016,San Diego,0.6066666666666667,0.6033519553072626,"(0.5, 0.65]",Okay,Okay,60321.0,41.5,13.0,78.3,0.4,5.5,32623.0,29948.0,2675.0,8.2,59.5,24.5,91795.0,9.3,24886.0,58.0,19.4,5.8,5.6,695200.0,1720.0
1322,Escalon,2016,San Joaquin,0.7542372881355932,0.7524752475247525,"(0.65, 0.8]",Good,Good,7182.0,38.6,18.2,77.6,0.6,1.4,3704.0,3345.0,359.0,9.7,59.7,24.4,55875.0,13.2,2865.0,88.3,0.4,0.5,5.8,219400.0,951.0
1323,Escondido,2016,San Diego,0.5,0.45757575757575764,"(0.0, 0.5]",Low,Low,145859.0,32.7,48.1,42.6,1.7,5.6,69108.0,62161.0,6947.0,10.1,52.5,25.8,49362.0,18.7,46867.0,50.1,6.5,12.6,5.5,324600.0,1182.0
1324,Eureka,2016,Humboldt,0.5153846153846153,0.46842105263157896,"(0.5, 0.65]",Low,Okay,27037.0,37.1,9.9,74.5,1.9,4.4,13714.0,12221.0,1493.0,10.9,57.2,13.3,36618.0,23.8,12170.0,61.2,2.8,4.3,4.8,241400.0,802.0
1325,Exeter,2016,Tulare,0.5952380952380953,0.720125786163522,"(0.5, 0.65]",Good,Okay,10381.0,28.0,46.3,49.3,1.5,0.2,4475.0,3857.0,618.0,13.8,57.3,21.2,39063.0,29.9,3612.0,78.8,3.0,0.8,5.3,159700.0,848.0
1326,Fairfield,2016,Solano,0.5764705882352941,0.5242290748898678,"(0.5, 0.65]",Okay,Okay,106533.0,33.0,26.6,35.4,14.9,15.6,51360.0,45753.0,5607.0,10.9,60.2,27.7,64702.0,13.6,36176.0,69.1,5.9,7.2,5.7,263500.0,1271.0
1327,Farmersville,2016,Tulare,0.6515151515151516,0.8064516129032258,"(0.65, 0.8]",Great,Good,10608.0,26.1,88.3,11.0,0.0,0.0,4609.0,3721.0,888.0,19.3,58.4,23.4,32384.0,32.9,2758.0,83.5,0.7,0.6,5.2,105100.0,728.0
1328,Ferndale,2016,Humboldt,0.2647058823529411,0.35820895522388063,"(0.0, 0.5]",Low,Low,1417.0,49.0,3.7,92.0,0.0,0.3,764.0,691.0,73.0,9.6,58.3,14.5,43333.0,6.4,812.0,81.3,1.6,0.4,5.6,352900.0,980.0
1329,Fillmore,2016,Ventura,0.5816326530612246,0.6595174262734584,"(0.5, 0.65]",Good,Okay,15076.0,30.2,76.7,21.6,0.1,0.6,6892.0,6157.0,735.0,10.7,58.5,30.9,55186.0,20.7,4389.0,71.6,8.1,6.6,5.4,305000.0,1262.0
1330,Firebaugh,2016,Fresno,0.6078431372549019,0.7801608579088471,"(0.5, 0.65]",Good,Okay,7773.0,24.6,90.0,7.0,0.5,0.0,3389.0,2890.0,499.0,14.7,47.9,21.8,35000.0,35.2,2266.0,60.2,2.9,1.6,4.9,117200.0,669.0
1331,Folsom,2016,Sacramento,0.7071428571428572,0.6793893129770991,"(0.65, 0.8]",Good,Good,72424.0,37.7,12.2,63.8,6.0,13.3,35272.0,32040.0,3232.0,9.2,64.1,24.4,98359.0,4.6,25997.0,71.5,3.7,6.5,6.2,385000.0,1372.0
1332,Fontana,2016,San Bernardino,0.6499999999999999,0.6044444444444445,"(0.5, 0.65]",Okay,Okay,198692.0,29.1,66.9,14.9,9.4,6.2,96356.0,81259.0,15097.0,15.7,58.4,32.1,64354.0,15.5,50716.0,78.4,2.8,6.8,5.9,243900.0,1112.0
1333,Fort Bragg,2016,Mendocino,0.631578947368421,0.6067961165048544,"(0.5, 0.65]",Okay,Okay,7259.0,38.2,35.5,57.5,0.5,2.1,3711.0,3359.0,352.0,9.5,61.6,12.6,36641.0,23.5,3282.0,62.3,3.0,5.6,4.7,303400.0,996.0
1334,Fortuna,2016,Humboldt,0.4651162790697675,0.5580645161290323,"(0.0, 0.5]",Okay,Low,11851.0,38.3,16.7,74.8,0.6,3.3,4803.0,4268.0,535.0,11.1,47.5,20.6,41026.0,20.3,4593.0,69.1,2.7,2.3,5.3,269600.0,819.0
1335,Foster City,2016,San Mateo,0.6756756756756757,0.7183098591549295,"(0.65, 0.8]",Good,Good,31259.0,39.6,6.7,41.5,2.1,44.6,17037.0,15766.0,1271.0,7.5,60.5,26.0,114260.0,4.6,12606.0,39.9,17.8,21.5,5.2,847400.0,2000.0
1336,Fountain Valley,2016,Orange,0.7391304347826086,0.7209302325581395,"(0.65, 0.8]",Good,Good,55911.0,43.4,15.8,46.6,1.2,33.7,29275.0,26579.0,2696.0,9.2,56.7,25.0,80870.0,8.0,19128.0,65.4,9.7,10.1,6.1,604100.0,1578.0
1337,Fowler,2016,Fresno,0.8736842105263158,0.847,"(0.8, 1.0]",Great,Great,5785.0,32.5,71.1,21.3,0.5,6.0,2706.0,2381.0,325.0,12.0,53.7,18.7,49663.0,23.2,1775.0,66.1,3.8,3.6,5.1,211900.0,845.0
1338,Fremont,2016,Alameda,0.7045454545454546,0.7391304347826086,"(0.65, 0.8]",Good,Good,218172.0,37.3,14.8,25.7,3.5,51.0,114119.0,104792.0,9327.0,8.2,59.0,29.7,101535.0,6.0,75033.0,57.9,15.0,17.2,5.4,600300.0,1566.0
1339,Fresno,2016,Fresno,0.6439393939393939,0.635483870967742,"(0.5, 0.65]",Okay,Okay,500819.0,29.6,47.2,29.6,7.6,12.6,228273.0,192527.0,35746.0,15.7,56.4,21.7,42015.0,28.9,173000.0,60.4,2.8,7.0,5.0,180100.0,884.0
1341,Fullerton,2016,Orange,0.7468354430379747,0.7487179487179487,"(0.65, 0.8]",Good,Good,136702.0,34.4,34.5,36.1,2.5,23.8,72085.0,64471.0,7614.0,10.6,59.4,28.1,67384.0,16.0,46788.0,51.6,10.6,15.4,5.0,478900.0,1341.0
1342,Galt,2016,Sacramento,0.6341463414634145,0.6470588235294117,"(0.5, 0.65]",Okay,Okay,23997.0,32.2,42.3,51.1,2.7,1.4,11411.0,9594.0,1817.0,15.9,56.8,28.5,57100.0,19.5,7867.0,77.5,6.3,2.9,5.4,191600.0,1067.0
1343,Garden Grove,2016,Orange,0.606060606060606,0.6494252873563218,"(0.5, 0.65]",Okay,Okay,172785.0,35.6,36.8,21.3,1.0,37.9,86346.0,76405.0,9941.0,11.5,56.7,26.4,59648.0,16.6,47703.0,56.8,9.0,9.6,5.0,393900.0,1322.0
1344,Gardena,2016,Los Angeles,0.51875,0.5973451327433629,"(0.5, 0.65]",Okay,Okay,59226.0,38.0,35.6,9.8,23.1,27.4,30457.0,26978.0,3479.0,11.4,59.2,26.2,48251.0,15.5,21945.0,46.4,7.2,11.6,4.3,341400.0,1100.0
1345,Gilroy,2016,Santa Clara,0.532258064516129,0.4658385093167703,"(0.5, 0.65]",Low,Okay,49767.0,32.6,59.0,32.0,1.7,4.8,25804.0,22581.0,3223.0,12.5,61.8,29.6,78360.0,15.5,15024.0,62.7,7.2,6.0,5.7,433600.0,1325.0
1346,Glendale,2016,Los Angeles,0.509090909090909,0.6293706293706294,"(0.5, 0.65]",Okay,Okay,193381.0,40.7,17.1,63.3,1.3,15.7,100905.0,89700.0,11205.0,11.1,56.6,26.5,53020.0,14.2,74607.0,36.1,4.0,22.5,4.1,587800.0,1294.0
1347,Glendora,2016,Los Angeles,0.5648148148148149,0.5883977900552486,"(0.5, 0.65]",Okay,Okay,50500.0,39.6,30.4,57.5,2.0,7.1,25398.0,22904.0,2494.0,9.8,55.9,31.5,74615.0,7.8,17219.0,73.7,6.7,5.0,5.7,448600.0,1440.0
1348,Grand Terrace,2016,San Bernardino,0.6224489795918368,0.5907258064516129,"(0.5, 0.65]",Okay,Okay,12169.0,37.9,42.7,43.3,6.7,4.7,6773.0,6075.0,698.0,10.3,61.8,24.3,64129.0,8.8,4521.0,61.0,4.7,5.5,5.6,232300.0,1177.0
